nom,distance,ascension_droite,declinaison,masse,temperature,type
Kepler-513 b,474.654,19 00 10.0110,+50 04 31.3432,,,planet
OGLE--2018-BLG-0516 b,7000.0,17 58 34.00,-31 15 45.00,0.0632,,planet
Kepler-514 b,461.361,19 04 59.3242,+50 14 32.6578,,,planet
HD 9174 b,78.93,01 30 01.0023,-19 36 16.2070,1.11,,planet
HD 28254 b,56.2,04 24 50.7051,-50 37 19.8834,1.16,196.8,planet
Kepler-617 b,174.219,18 54 57.7739,+47 30 58.6292,,,planet
KMT-2021-BLG-0909 b,6480.0,17 42 29.00,-27 38 21.00,1.26,,planet
NGTS-12 b,452.0,11 45 00,-35 38 26,0.208,1257.0,planet
KELT-10 b,183.0,18 58 11.6095,-47 00 11.6643,0.679,1377.0,planet
HAT-P-55 b,480.0,17 37 05.6338,+25 43 52.2543,0.582,1313.0,planet
WASP-23 b,208.7378,06 44 30.6134,-42 45 42.6660,0.884,1024.0,planet
HD 30177 b,55.68,04 41 54.3739,-58 01 14.7246,8.622,,planet
HD 30177 c,55.68,04 41 54.3739,-58 01 14.7246,7.6,,planet
HIP 114933 b,102.06,23 16 49.7048,-21 12 11.1399,1.94,,planet
MOA-2013-BLG-220L b,4500.0,18 03 56.470,-29 32 40.78,0.8,,planet
Kepler-742 b,496.179,18 55 27.8389,+46 47 22.5659,,,planet
WASP-80 b,60.0,20 12 40.1691,-02 08 39.1911,0.554,600.0,planet
Kepler-877 b,,19 19 26.1830,+46 31 21.6710,,,planet
K2-166 c,481.0,12 20 45,+02 16 57,,,planet
K2-166 b,481.0,12 20 45,+02 16 57,,1140.0,planet
Kepler-1634 b,628.417,19 36 10.4160,+45 08 23.2005,,,planet
Kepler-904 b,1006.34,19 15 17.5001,+40 23 20.5700,,,planet
TOI-178 b,63.0,00 29 12.3030,-30 27 13.4649,0.00472,1040.0,planet
TOI-178 c,63.0,00 29 12.3030,-30 27 13.4649,0.01501,873.0,planet
TOI-178 d,63.0,00 29 12.3030,-30 27 13.4649,0.00947,690.0,planet
TOI-178 e,63.0,00 29 12.3030,-30 27 13.4649,0.01214,600.0,planet
TOI-178 f,63.0,00 29 12.3030,-30 27 13.4649,0.02429,521.0,planet
TOI-178 g,63.0,00 29 12.3030,-30 27 13.4649,0.0124,470.0,planet
alf Tau b,20.43,04 35 55.20,+16 30 35.1,6.47,,planet
WASP-150 b,536.14,17 37 03.1320,+53 01 16.4818,8.46,1460.0,planet
HAT-P-57 b,303.0,18 18 58.32,+10 35 50.3,,,planet
Kepler-523 b,255.154,18 56 14.6705,+45 30 24.6476,,,planet
HD 141937 b,33.46,15 52 17.5481,-18 26 09.7938,9.7,215.8,planet
Kepler-275 c,2055.57,19 29 55.1289,+38 30 53.6696,,,planet
Kepler-275 b,2055.57,19 29 55.1289,+38 30 53.6696,,,planet
Kepler-275 d,2055.57,19 29 55.1289,+38 30 53.6696,,,planet
Kepler-557 b,,19 34 50.0233,+41 36 54.5342,,,planet
HD 220197 b,64.53,23 21 58.2870,+16 37 57.1380,0.2,,planet
Kepler-356 c,672.47,19 29 41.0583,+37 40 58.1088,,,planet
Kepler-356 b,672.47,19 29 41.0583,+37 40 58.1088,,,planet
Kepler-342 b,807.28,19 30 42.7396,+46 43 36.1591,,,planet
Kepler-342 d,807.28,19 30 42.7396,+46 43 36.1591,,,planet
Kepler-342 c,807.28,19 30 42.7396,+46 43 36.1591,,,planet
Kepler-342 e,807.28,19 30 42.7396,+46 43 36.1591,,,planet
WASP-163 b,263.29,17 06 09.0131,-10 24 46.7426,1.87,1638.0,planet
Kepler-1953 b,605.631,19 11 52,+46 28 14,0.00692,731.0,planet
HIP 65407 b,62.07,13 24 21.0389,+48 53 06.3624,0.428,,planet
HIP 65407 c,62.07,13 24 21.0389,+48 53 06.3624,0.784,,planet
Kepler-1571 b,688.658,20 03 44.5023,+45 35 47.5323,,,planet
Kepler-131 b,226.3,19 14 07.4054,+40 56 32.3258,0.05074,,planet
Kepler-131 c,226.3,19 14 07.4054,+40 56 32.3258,0.025952,,planet
Kepler-1649 c,92.43,19 30 00.9006,+41 49 49.5138,,234.0,planet
Kepler-1649 b,92.43,19 30 00.9006,+41 49 49.5138,,307.0,planet
Kepler-1247 b,1076.89,19 38 08.0540,+46 37 05.7884,,,planet
Kepler-1158 b,1550.15,19 28 56.1390,+41 34 30.7182,,,planet
Qatar-7 b,725.0,23 54 04,+37 01 19,1.88,2053.0,planet
Kepler-1019 b,195.278,18 54 52.2159,+47 12 16.0590,,,planet
HD 86264 b,72.6,09 56 57.8386,-15 53 42.4229,7.0,214.2,planet
Kepler-1868 b,274.18,19 33 12,+43 33 21,0.0317,215.0,planet
K2-261 b,214.58,10 52 07.7793,+00 29 36.0856,0.223,1080.0,planet
Kepler-1439 b,226.829,19 02 57.5536,+40 58 48.1124,,,planet
HATS-65 b,500.0,19 31 45.5518,-26 44 24.7249,0.821,1634.0,planet
KMT-2021-BLG-1554L b,7680.0,17 51 13,-31 51 52,0.12,,planet
HR 8799 b,39.4,23 07 28.71507,+21 08 03.3053,5.0,1100.0,planet
HR 8799 c,39.4,23 07 28.71507,+21 08 03.3053,7.0,1200.0,planet
HR 8799 d,39.4,23 07 28.71507,+21 08 03.3053,7.0,1200.0,planet
HR 8799 e,39.4,23 07 28.71507,+21 08 03.3053,7.0,1200.0,planet
Kepler-627 b,1012.86,19 28 25.0236,+39 46 04.4097,,,planet
Kepler-1027 b,409.819,19 10 17.0804,+42 48 50.0917,,,planet
TOI-1260 b,73.41,10 28 35.00,+65 51 15.00,0.02709,860.0,planet
TOI-1260 c,73.41,10 28 35.00,+65 51 15.00,0.03725,643.0,planet
Kepler-1204 b,1215.95,19 17 45.9604,+42 29 53.3256,,,planet
OGLE-2014-BLG-0676L b,2220.0,17 52 24.50,-30 32 54.20,3.09,,planet
HD 189567 b,17.7,20 05 32.7652,-67 19 15.2288,0.0316,769.4,planet
Wolf 1069 b,9.5747,20 26 06.00,+58 34 31.00,0.00396,250.0,planet
HD 136925 b,47.9382,15 22 52.0681,+13 21 59.1427,0.84,,planet
2MASS J0219-3925 B,39.4,02 19 22.10,-39 25 22.5,13.9,1683.0,planet
GJ 1148 c,11.0143,11 41 44.6360,+42 45 07.1048,0.21414,,planet
GJ 1148 b,11.0143,11 41 44.6360,+42 45 07.1048,0.30425,,planet
Kepler-1466 b,643.666,19 19 19.4872,+44 36 35.4839,,,planet
K2-334 b,371.823,09 05 57,+16 19 32,0.0854,1380.0,planet
DS Tuc A b,44.12,23 39 39,-69 11 45,,850.0,planet
Kepler-1986 b,912.085,19 31 50,+42 51 18,0.0133,579.0,planet
Kepler-1339 b,374.827,18 54 59.0072,+48 22 24.3218,,,planet
Kepler-197 c,313.87,19 40 54.3400,+50 33 32.4215,,,planet
Kepler-197 d,313.87,19 40 54.3400,+50 33 32.4215,,,planet
Kepler-197 b,313.87,19 40 54.3400,+50 33 32.4215,,,planet
Kepler-197 e,313.87,19 40 54.3400,+50 33 32.4215,,,planet
Kepler-863 b,1562.99,19 50 39.4752,+43 14 56.3658,,,planet
Kepler-1639 b,1062.81,18 52 16.4768,+48 48 07.5149,,,planet
KELT-17 b,210.0,08 22 28.2047,+13 44 07.1445,1.31,2087.0,planet
WASP-102 b,543.685,22 25 51.4470,+15 51 24.2708,0.624,,planet
2MASS J22362452+4751425 b,74.0,22 36 24.5254,+47 51 42.5312,12.5,,planet
Kepler-1950 b,697.253,19 08 21,+42 40 07,0.00927,752.0,planet
NGTS-4 b,282.6,05 58 23.7549,-30 48 42.3629,0.0647988248135461,1650.0,planet
Kepler-12 b,600.0,19 04 58.4220,+50 02 25.2714,0.43,1354.2,planet
TOI-1518 b,,23 29 04.00,+67 02 06.00,,2892.0,planet
HD 13931 b,46.75,02 16 47.3790,+43 46 22.7896,1.92,,planet
Kepler-906 b,774.653,19 25 37.3398,+40 07 31.7844,,,planet
OGLE-2007-BLG-368L b,5900.0,17 56 25.96,-32 14 14.7,0.0629,,planet
HATS-21 b,286.0,18 40 44.2540,-58 32 27,0.332,,planet
Kepler-1773 b,681.255,19 04 54,+38 15 29,0.038,623.0,planet
GJ 433 b,9.07,11 35 26.9474,-32 32 23.8830,0.01901,,planet
GJ 433 c,9.07,11 35 26.9474,-32 32 23.8830,0.10201,,planet
GJ 433 d,9.07,11 35 26.9474,-32 32 23.8830,0.01643,,planet
HATS-16 b,774.0,23 54 14.0982,-30 00 46.9064,3.27,,planet
TOI-1468 c,24.7399,01 06 37,+19 13 30,0.02089,337.5,planet
TOI-1468 b,24.7399,01 06 37,+19 13 30,0.0101,682.2,planet
KOI-4427.01,240.0,19 40 28.1364,+39 16 26.7578,,,planet
WASP-88 b,531.604,20 38 02.6869,-48 27 43.4254,0.56,1772.0,planet
GJ 3138 b,28.49,02 09 10.9012,-16 20 22.5287,0.0132,,planet
GJ 3138 c,28.49,02 09 10.9012,-16 20 22.5287,0.0056,,planet
GJ 3138 d,28.49,02 09 10.9012,-16 20 22.5287,0.033,,planet
K2-237 b,309.5,16 55 04.5335,-28 42 38.0147,1.236,1838.0,planet
Kepler-881 b,1431.64,19 15 58.2188,+46 40 14.6357,,,planet
Kepler-1844 b,1804.36,19 30 46,+37 56 04,0.0298,1074.0,planet
HD 27969 b,68.06,04 26 49.4514,+42 54 34.1462,4.8,261.0,planet
EPIC 249893012 b,324.22,15 12 59.5618,-16 43 28.1990,0.02753,1616.0,planet
EPIC 249893012 c,324.22,15 12 59.5618,-16 43 28.1990,0.04616,990.0,planet
EPIC 249893012 d,324.22,15 12 59.5618,-16 43 28.1990,0.03203,752.0,planet
TOI-2498 b,275.265,06 21 40,+11 15 06,0.10893,1443.0,planet
Kepler-1714 b,409.46,19 34 52,+46 13 36,0.0337,1211.0,planet
Kepler-1471 b,1006.64,19 18 39.5801,+50 01 12.1561,,,planet
HAT-P-37 b,411.0,18 57 11.0562,+51 16 08.8495,1.169,1166.3,planet
Kepler-1116 b,1038.21,19 27 44.0726,+44 06 55.9042,,,planet
HIP 63242 b,135.0,12 57 31.9599,-65 38 47.2594,9.18,,planet
Kepler-1652 b,252.0,19 37 27.8329,+49 54 54.2170,,268.0,planet
OGLE-2018-BLG-1185 b,7400.0,17 59 10.00,-27 50 06.00,0.0264,,planet
K2-202 b,771.7,18 53 03.4244,-22 24 25.3382,,,planet
CoRoT-25 b,1000.0,18 42 31.1200,+06 30 49.7463,0.27,,planet
HD 149806 b,20.2727,16 37 09,+00 15 17,12.2018,,planet
WASP-87 b,299.0,12 21 17.9274,-52 50 26.9994,2.18,,planet
WASP-73 b,319.57,21 19 47.9065,-58 08 55.9930,1.88,1790.0,planet
Kepler-630 b,860.511,19 33 42.4899,+39 56 32.7142,,,planet
CI Tau b,158.7,04 33 52.0144,+22 50 30.0937,12.31,,planet
K2-203 b,803.7,00 51 05.6974,-01 11 45.1932,,,planet
WASP-54 b,200.0,13 41 49.0301,-00 07 41.0337,0.636,1759.0,planet
