nom,distance,ascension_droite,declinaison,masse,temperature,type
HD 196067 b,44.3,20 41 44.1008,-75 21 02.8848,6.9,177.2,planet
Gliese 328 b,19.8,08 55 07.6219,+01 32 47.4164,2.3,,planet
HATS-31 b,872.0,12 46 48.6784,-24 35 38.5,0.88,,planet
EPIC 246193072 b,230.36,23 24 32,-05 09 51,0.26,650.0,planet
Kepler-1708 b,1667.0,19 47 18.00,+43 37 29.00,,,planet
Kepler-1708 b-i,1667.0,19 47 18.00,+43 37 29.00,,,planet
Kepler-1589 b,1579.28,19 37 46.0422,+40 34 17.9384,,,planet
Kepler-1182 b,1615.25,19 45 13.9088,+43 49 16.8679,,,planet
KMT-2021-BLG-0320 b,6950.0,17 57 33.00,-30 30 14.00,0.1,,planet
Kepler-1435 b,718.752,19 24 41.5890,+44 55 16.0603,,,planet
Kepler-1798 b,395.196,19 26 54,+37 31 44,0.0187,408.0,planet
CoRoT-17 b,920.0,18 34 47.8213,-06 36 44.1119,2.45,1486.4,planet
47 UMa b,14.063,10 59 27.97282,+40 25 48.9202,2.53,,planet
47 UMa c,14.063,10 59 27.97282,+40 25 48.9202,0.54,,planet
47 UMa d,14.063,10 59 27.97282,+40 25 48.9202,1.64,,planet
Kepler-660 b,577.768,19 12 33.1868,+47 43 28.1098,,,planet
K2-232 b,131.21,04 55 03.9625,+18 39 16.3104,0.398,1030.0,planet
Kepler-1554 b,972.668,19 06 18.2736,+41 44 29.3881,,,planet
Kepler-1199 b,581.463,19 34 54.2134,+47 14 49.2002,,,planet
Kepler-1421 b,801.346,19 06 19.3464,+48 32 39.0463,,,planet
Kepler-1155 b,,19 15 16.9430,+39 31 22.1971,,,planet
K2-152 b,108.7,12 06 31.8743,-05 49 38.6817,,337.0,planet
K2-253 b,901.8,12 24 20.4928,-06 22 44.0154,,1238.0,planet
Kepler-1113 b,1107.67,19 17 37.6104,+39 20 19.7691,,,planet
Kepler-324 b,501.574,19 05 53,+49 38 57,0.00489,935.0,planet
Kepler-324 d,501.574,19 05 53,+49 38 57,0.00702,475.0,planet
Kepler-324 c,501.574,19 05 53,+49 38 57,0.0317,410.0,planet
Kepler-1239 b,,19 32 30.5634,+42 19 12.3268,,,planet
OGLE-2017-BLG-0406L b,5200.0,17 56 00,-29 51 47,0.41,,planet
K2-416 b,120.311,23 16 53,-05 12 05,5.2,447.0,planet
KMT-2021-BLG-0240L b,6600.0,17 50 19,-30 00 18,0.21,,planet
Kepler-220 c,208.38,19 26 01.4892,+46 53 44.7805,,,planet
Kepler-220 d,208.38,19 26 01.4892,+46 53 44.7805,,,planet
Kepler-220 e,208.38,19 26 01.4892,+46 53 44.7805,,,planet
Kepler-220 b,208.38,19 26 01.4892,+46 53 44.7805,,,planet
K2-210 b,179.2,01 10 33.8315,+01 34 41.7944,,,planet
HD 44219 b,50.43,06 20 14.3232,-10 43 30.0309,0.58,260.2,planet
Kepler-1847 b,1693.86,19 46 24,+44 19 31,0.0251,843.0,planet
Kepler-623 b,753.409,19 47 56.8190,+47 28 38.5992,,,planet
K2-170 c,496.8,22 21 48.1723,-14 35 35.8435,,,planet
K2-170 b,496.8,22 21 48.1723,-14 35 35.8435,,,planet
TOI-4087 b,301.676,14 31 42,+83 22 22,0.73,1458.0,planet
TOI-3912 b,465.992,14 23 12,+24 04 36,0.406,1512.0,planet
Kepler-571 b,739.262,19 06 12.2453,+49 25 07.3255,,,planet
Kepler-713 b,1124.1,19 42 36.3536,+43 01 47.3242,,,planet
HATS-68 b,614.6,01 00 01.4134,-58 54 17.1247,1.29,1741.0,planet
Kepler-840 b,1154.87,19 46 01.7684,+49 27 26.2384,,,planet
Kepler-530 b,463.843,18 53 21.6644,+48 32 56.5208,,,planet
HD 179949 b,27.0,19 15 33.2300,-24 10 45.6733,0.95,1419.4,planet
Kepler-1923 b,990.838,19 52 20,+40 20 47,0.0142,553.0,planet
Kepler-570 b,577.601,19 21 45.0248,+48 47 30.7890,,,planet
SDSS J1110+0116,19.19,11 10 10,+01 16 13,11.0,940.0,planet
TOI-1680 b,37.2209,19 29 15,+65 58 26,0.00865,404.0,planet
WASP-49 b,170.0,06 04 21.4734,-16 57 55.1088,0.378,1369.0,planet
WASP-53 b,202.51,02 07 38.2093,-20 39 42.7616,2.132,1053.0,planet
WASP-53 c,202.51,02 07 38.2093,-20 39 42.7616,16.35,,planet
Kepler-310 c,713.11,19 15 21.4377,+46 59 12.2927,,,planet
Kepler-310 d,713.11,19 15 21.4377,+46 59 12.2927,,,planet
Kepler-310 b,713.11,19 15 21.4377,+46 59 12.2927,,,planet
TOI-1411 b,32.5,15 31 47.00,+47 03 25.00,2.5,1136.0,planet
WASP-20 b,210.0,00 20 38.5361,-23 56 08.7938,0.313,1379.0,planet
Kepler-1167 b,839.772,19 53 12.6548,+47 41 38.4472,,,planet
HD 82943 b,27.46,09 34 50.7352,-12 07 46.3633,1.75,250.5,planet
HD 82943 c,27.46,09 34 50.7352,-12 07 46.3633,2.01,314.7,planet
HD 141399 b,37.38,15 46 53.8133,+46 59 10.5407,0.451,,planet
HD 141399 c,37.38,15 46 53.8133,+46 59 10.5407,1.33,,planet
HD 141399 d,37.38,15 46 53.8133,+46 59 10.5407,1.18,,planet
HD 141399 e,37.38,15 46 53.8133,+46 59 10.5407,0.66,,planet
Kepler-1673 b,742.78,19 02 40,+48 43 10,,,planet
2MASS J0030-1450,26.7,00 30 30.13,-14 50 33.40,10.0,1264.0,planet
Kepler-321 c,461.82,19 37 48.8859,+44 08 44.7961,,,planet
Kepler-321 b,461.82,19 37 48.8859,+44 08 44.7961,,,planet
K2-173 b,302.0,04 01 29.9880,+15 37 30.1648,,,planet
TOI-3540 b,282.4,21 55 38.00,+28 10 46.00,1.18,1498.0,planet
HD 148156 b,53.05,16 28 17.2846,-46 19 03.4633,0.85,191.9,planet
Kepler-366 b,1268.38,19 47 24.4855,+49 05 03.9400,,,planet
Kepler-366 c,1268.38,19 47 24.4855,+49 05 03.9400,,,planet
Kepler-1526 b,564.398,19 00 28.7251,+38 51 59.1729,,,planet
Kepler-770 b,955.84,19 05 57.7024,+38 22 29.6941,,,planet
Kepler-770 c,955.84,19 05 57.7024,+38 22 29.6941,,,planet
Kepler-770 d,955.84,19 05 57.7024,+38 22 29.6941,,,planet
Kepler-160 b,962.92,19 11 05.6526,+42 52 09.4724,,,planet
Kepler-160 c,962.92,19 11 05.6526,+42 52 09.4724,,,planet
Kepler-160 d,962.92,19 11 05.6526,+42 52 09.4724,0.31463,,planet
LP 791-18 b,26.49,11 02 45.9543,-16 24 22.2857,,650.0,planet
LP 791-18 c,26.49,11 02 45.9543,-16 24 22.2857,,370.0,planet
Kepler-545 b,837.661,19 22 15.9146,+40 41 31.4153,,,planet
EPIC 201577035 b,271.0,11 28 29.2704,+01 41 26.2770,0.085,,planet
Kepler-1623 b,857.927,19 36 19.8503,+39 33 21.9042,,,planet
OGLE-TR-10 b,1500.0,17 51 28.2589,-29 52 35.2329,0.68,1702.0,planet
TOI-3984 A b,108.883,15 05 21,+36 47 13,0.14,563.0,planet
HD 110113 b,106.3,12 40 08.7806,-44 18 43.2676,4.55,1371.0,planet
HD 110113 c,106.3,12 40 08.7806,-44 18 43.2676,0.033,990.0,planet
HD 155233 b,75.1,17 11 04.36474,-20 39 16.4509,2.0,,planet
Kepler-609 b,1099.14,19 28 52.8757,+44 42 00.0664,,,planet
TOI-1899 b,128.4,19 57 42,+40 08 36,0.66,362.0,planet
RR Cae (AB) b,,04 21 06,-48 39 07,4.2,,planet
Kepler-477 b,,19 12 16.2221,+42 21 19.2160,,,planet
Kepler-1523 b,887.39,19 44 12.9770,+45 49 37.4215,,,planet
K2-168 c,245.56,22 12 26.3780,-16 20 30.3307,,961.0,planet
K2-168 b,245.56,22 12 26.3780,-16 20 30.3307,,766.0,planet
Kepler-895 b,548.456,19 17 09.7717,+51 24 31.9945,,,planet
Gliese 3341 b,23.2,05 15 46.7163,-31 17 45.3160,0.02,,planet
WASP-130 b,180.0,13 32 25.4360,-42 31 29,1.23,,planet
HD 111232 b,29.0,12 48 51.7525,-68 25 30.5470,6.8,163.3,planet
HATS-56 b,573.5,12 00 39.6300,-45 47 57.9954,0.902,1902.0,planet
Kepler-217 b,1054.36,19 32 09.0586,+46 16 39.0670,,,planet
Kepler-217 c,1054.36,19 32 09.0586,+46 16 39.0670,,,planet
Kepler-217 d,1054.36,19 32 09.0586,+46 16 39.0670,,,planet
Kepler-205 b,172.98,19 01 08.9066,+41 51 40.1682,,,planet
Kepler-205 c,172.98,19 01 08.9066,+41 51 40.1682,,,planet
Kepler-195 b,681.77,19 12 29.0212,+47 58 00.0799,,,planet
Kepler-195 c,681.77,19 12 29.0212,+47 58 00.0799,,,planet
Kepler-506 b,229.948,18 58 32.4437,+40 43 11.4233,,,planet
KMT-2019-BLG-0371L b,7010.0,17 53 32,-31 33 18,7.7,,planet
Kepler-1636 b,,19 36 13.8223,+46 26 27.5832,,,planet
HD 114082 b,95.3906,13 09 16,-60 18 30,8.0,,planet
WASP-47 b,200.0,22 04 48.7262,-12 01 08.0009,1.164,,planet
WASP-47 e,200.0,22 04 48.7262,-12 01 08.0009,0.0384,,planet
WASP-47 d,200.0,22 04 48.7262,-12 01 08.0009,0.0328,,planet
WASP-47 c,200.0,22 04 48.7262,-12 01 08.0009,1.24,,planet
Kepler-503 b,1628.0,19 22 32.7571937112,+38 42 27.579129047,79.0,,planet
Kepler-819 b,677.048,19 41 28.9900,+39 10 37.9789,,,planet
TOI-3807 b,421.745,09 16 27,+69 04 27,1.04,1646.0,planet
Kepler-163 c,788.98,19 40 00.6737,+46 59 14.4887,,,planet
Kepler-163 b,788.98,19 40 00.6737,+46 59 14.4887,,,planet
Kepler-1587 b,1057.64,19 30 42.6541,+49 39 50.0229,,,planet
HD 157172 b,31.9,17 22 34.5659,-19 36 58.2515,0.12,347.9,planet
K2-116 b,49.46,22 24 36.3824,-11 34 43.2858,,,planet
TOI-431 b,32.61,05 33 05.00,-26 43 26.00,0.00966,1862.0,planet
TOI-431 c,32.61,05 33 05.00,-26 43 26.00,2.84,867.0,planet
TOI-431 d,32.61,05 33 05.00,-26 43 26.00,0.0311,633.0,planet
Kepler-956 b,553.649,19 30 07.4003,+49 03 42.2270,,,planet
Kepler-179 c,602.79,19 54 39.2963,+47 45 43.2535,,,planet
Kepler-179 b,602.79,19 54 39.2963,+47 45 43.2535,,,planet
HD 94771 b,57.7807,10 55 54,-35 06 52,0.53,,planet
WASP-181 b,443.0,01 47 10.3796,+03 07 58.8975,0.299,1186.0,planet
HATS-63 b,634.7,04 29 40.4529,-28 11 50.2340,0.96,1398.0,planet
KMT-2018-BLG-1990L b,967.0,17 53 44,-22 09 09,0.348,,planet
HD 196885 A b,33.0,20 39 51,+11 14 58,2.98,228.4,planet
WISE J2216+1952,30.7,22 16 28.62,+19 52 48.10,5.0,909.0,planet
HIP 74890 b,91.6,15 18 17.3301,-41 34 46,2.4,,planet
Kepler-1312 b,299.104,19 31 53,+41 02 09,0.0159,978.0,planet
Kepler-1312 c,299.104,19 31 53,+41 02 09,0.00337,1659.0,planet
omi UMa b,54.91,08 30 15.87064,+60 43 05.4115,4.1,,planet
HAT-P-15 b,190.0,04 24 59.5347,+39 27 38.3124,1.946,819.9,planet
Kepler-422 b,651.31,18 50 31.1173,+46 19 23.9930,0.43,976.0,planet
Kepler-159 b,457.7,19 48 16.8385,+40 52 07.6486,,,planet
Kepler-159 c,457.7,19 48 16.8385,+40 52 07.6486,,,planet
Kepler-55 d,610.01,19 00 40.4015,+44 01 35.3690,,,planet
Kepler-55 b,610.01,19 00 40.4015,+44 01 35.3690,,,planet
Kepler-55 c,610.01,19 00 40.4015,+44 01 35.3690,,,planet
Kepler-55 e,610.01,19 00 40.4015,+44 01 35.3690,,,planet
Kepler-55 f,610.01,19 00 40.4015,+44 01 35.3690,,,planet
HD 6860 b,61.12469,01 09 44,+35 37 14,28.26,,planet
Kepler-783 b,544.0,19 24 15,+47 29 05,,,planet
Kepler-783 c,544.0,19 24 15,+47 29 05,,,planet
Kepler-1098 b,1081.43,19 42 00.6446,+43 13 58.0073,,,planet
HD 40307 b,12.995,05 54 04.23991,-60 01 24.4977,0.01199,,planet
HD 40307 c,12.995,05 54 04.23991,-60 01 24.4977,0.02023,,planet
HD 40307 d,12.995,05 54 04.23991,-60 01 24.4977,0.0275,,planet
HD 40307 e,12.995,05 54 04.23991,-60 01 24.4977,0.011,,planet
HD 40307 f,12.995,05 54 04.23991,-60 01 24.4977,0.01142,,planet
HD 40307 g,12.995,05 54 04.23991,-60 01 24.4977,0.0223,,planet
Kepler-1464 b,1191.19,19 08 56.5638,+38 45 14.9474,,,planet
Kepler-1464 c,1191.19,19 08 56.5638,+38 45 14.9474,,,planet
WASP-28 b,410.0,23 34 27.8815,-01 34 48.1128,0.907,1468.0,planet
HD 38801 b,91.68,05 47 59.1756,-08 19 39.7194,9.698,,planet
Kepler-1524 b,385.996,19 35 32.4924,+39 31 11.3045,,,planet
Gliese 3470 b,30.7,07 59 05.8395,+15 23 29.2400,0.0432,,planet
HD 191939 b,53.48,20 08 05.7549,+66 51 02.0755,,812.0,planet
HD 191939 c,53.48,20 08 05.7549,+66 51 02.0755,,552.0,planet
HD 191939 d,53.48,20 08 05.7549,+66 51 02.0755,,499.0,planet
HD 207496 b,23.606,21 54 52,-77 20 20,0.01919,743.0,planet
HD 47536 b,121.36,06 37 47.6183,-32 20 23.0335,4.0,,planet
HD 47536 c,121.36,06 37 47.6183,-32 20 23.0335,7.0,,planet
HD 88072 b,35.9098,10 09 23,+02 22 16,7.903,,planet
Kepler-847 b,520.779,18 54 01.1580,+49 27 03.5823,,,planet
Kepler-731 b,1302.42,19 45 34.3635,+45 34 06.8171,,,planet
HD 148284 b,121.61,16 25 48.4158,+30 15 54.4568,33.7,,planet
K2-159 b,158.8,12 02 09.8149,-03 34 50.8482,,,planet
PSR B1620-26 b,1800.0,16 23 38.2218,-26 31 53.769,1.7,,planet
KMT-2017-BLG-0428L b,5400.0,18 05 32,-28 29 25,0.01759,,planet
Kepler-741 b,1745.81,19 17 43.6165,+46 37 03.0651,,,planet
Kepler-734 b,1196.74,19 48 10.9530,+46 01 38.5789,,,planet
HD 168746 b,43.12,18 21 49.7828,-11 55 21.6537,0.23,1026.4,planet
WASP-37 b,338.0,14 47 46.5618,+01 03 53.8023,1.696,1213.5,planet
Kepler-265 c,1511.13,19 22 02.5195,+41 14 41.2938,,,planet
Kepler-265 b,1511.13,19 22 02.5195,+41 14 41.2938,,,planet
Kepler-265 e,1511.13,19 22 02.5195,+41 14 41.2938,,,planet
Kepler-265 d,1511.13,19 22 02.5195,+41 14 41.2938,,,planet
TOI-1811 b,128.3,12 35 41.00,+27 12 52.00,0.974,961.0,planet
Kepler-500 b,826.583,19 43 48.3281,+43 51 07.3331,,,planet
HD 7924 b,16.82,01 21 59.11491,+76 42 37.0335,0.029,825.9,planet
HD 7924 c,16.82,01 21 59.11491,+76 42 37.0335,0.0247,583.6,planet
HD 7924 d,16.82,01 21 59.11491,+76 42 37.0335,0.0203,499.0,planet
TIC 172900988 (AB) b,246.263,08 34 39.00,+31 33 14.00,2.84,,planet
Kepler-534 b,579.912,19 45 40.4541,+49 32 24.3500,,,planet
Kepler-15 b,755.4,19 44 48.1365,+49 08 24.2974,0.66,1027.9,planet
MOA-2020-BLG-135 b,7900.0,17 53 42.00,-29 48 27.00,0.0356,,planet
HD 240237 b,958.1,23 15 42.22361,+58 02 35.6654,5.3,,planet
WASP-169 b,638.38,08 29 32.9490,-12 56 41.1067,0.561,1604.0,planet
Kepler-1684 b,633.05,19 36 01,+46 18 38,,,planet
Kepler-1175 b,1157.54,19 16 34.2417,+46 48 46.3351,,,planet
HD 3167 b,47.36,00 34 57.5243,+04 22 53.2835,,1669.0,planet
HD 3167 c,47.36,00 34 57.5243,+04 22 53.2835,,531.0,planet
HD 3167 d,47.36,00 34 57.5243,+04 22 53.2835,0.02171,,planet
Kepler-642 b,799.552,19 35 20.2910,+42 37 29.8378,,,planet
TOI-2184 b,,06 43 20.00,-66 56 52.00,0.65,,planet
Sand 178 b,58.76,12 58 22.20,+26 30 16.10,10.4,,planet
GJ 887 b,3.29,23 05 52.0354,-35 51 11.0587,0.01321,468.0,planet
GJ 887 c,3.29,23 05 52.0354,-35 51 11.0587,0.02391,352.0,planet
K2-79 b,212.3,03 41 01.4149,+13 31 09.7129,,,planet
HIP 90988 b,94.29,18 33 33.3862,-50 12 41.7440,1.96,,planet
Kepler-597 b,676.224,19 33 52.8230,+39 15 10.0895,,,planet
K2-374 c,359.439,09 09 31,+16 21 21,0.0174,,planet
K2-374 b,359.439,09 09 31,+16 21 21,0.00996,,planet
HD 202772 A b,147.2,21 18 48,-26 36 59,1.017,2132.0,planet
Kepler-325 b,1125.08,19 19 20.5055,+49 49 32.1642,,,planet
Kepler-325 c,1125.08,19 19 20.5055,+49 49 32.1642,,,planet
Kepler-325 d,1125.08,19 19 20.5055,+49 49 32.1642,,,planet
Kepler-1777 b,619.146,19 21 19,+37 43 23,0.0163,819.0,planet
KMT-2017-BLG-0673L b,5080.0,17 39 02,-33 48 29,3.67,,planet
Kepler-598 b,686.0,19 32 30,+40 56 05,,,planet
Kepler-598 c,686.0,19 32 30,+40 56 05,,,planet
Kepler-1550 b,1219.96,19 11 03.4974,+38 17 40.9446,,,planet
HD 205158 b,86.6159,21 35 40,-59 41 36,0.38835,,planet
CoRoT-27 b,1035.2,18 33 58.9993,+05 32 18.3232,10.39,1500.0,planet
Kepler-767 b,,19 26 18.9989,+38 02 08.9940,,,planet
Kepler-264 b,804.0,19 28 10.7070,+37 22 34.4100,,,planet
Kepler-264 c,804.0,19 28 10.7070,+37 22 34.4100,,,planet
Kepler-489 b,373.622,19 23 19.9545,+38 11 03.5875,,,planet
Kepler-1017 b,560.978,18 53 52.6407,+40 07 57.3067,,,planet
SAND978 b,843.0,08 51 17.4834,+11 45 22.693,2.18,,planet
30 Ari B b,45.2,02 37 00.52363,+24 38 49.9957,6.6,,planet
K2-245 b,463.4,12 20 43.6017,-01 35 27.2365,,923.0,planet
TIC 237913194 b,308.79,01 29 47,-60 44 24,1.942,974.0,planet
Kepler-1306 b,1143.38,19 37 54.8008,+46 56 45.0766,,,planet
Kepler-1034 b,667.022,19 04 27.6908,+37 58 01.1584,,,planet
HD 10697 b,32.56,01 44 55.8251,+20 04 59.3362,6.38,221.8,planet
Kepler-1704 b,835.455,19 24 48,+51 08 39,4.15,253.8,planet
Kepler-1395 b,499.9,19 29 21.0058,+47 39 51.1047,,,planet
Kepler-900 b,494.438,19 44 42.5497,+46 59 56.3761,,,planet
LTT 1445 A b,6.9,03 01 51.00,-16 35 36.00,0.00903,424.0,planet
LTT 1445 A c,6.9,03 01 51.00,-16 35 36.00,0.00485,508.0,planet
Kepler-247 c,695.58,19 14 34.2067,+43 02 21.4960,,,planet
Kepler-247 d,695.58,19 14 34.2067,+43 02 21.4960,,,planet
Kepler-247 b,695.58,19 14 34.2067,+43 02 21.4960,,,planet
Kepler-987 b,938.703,19 17 38.6534,+46 07 51.0700,,,planet
Kepler-1386 b,856.458,18 43 17.6082,+42 38 09.6802,,,planet
HATS-5 b,257.0,04 28 53.4831,-21 28 55.0626,0.237,1025.0,planet
FN Lyr b,3000.0,19 10 22.2539,+42 27 31.6257,13.9,,planet
Kepler-628 b,921.659,19 21 47.8219,+39 51 17.2668,,,planet
Kepler-1256 b,914.578,19 25 53.8254,+44 41 00.5478,,,planet
HATS-58 A b,425.5,12 27 08.988,-48 58 42.39,1.03,1721.0,planet
Kepler-975 b,431.369,19 22 11.6473,+38 29 42.9959,,,planet
HD 216536 b,380.3,22 53 03.9725,+44 28 39.8755,1.47,,planet
Kepler-1110 b,741.84,19 27 13.9276,+38 37 21.7748,,,planet
beta Pic b,19.75,05 47 17.0876,-51 03 59.4411,,,planet
beta Pic c,19.75,05 47 17.0876,-51 03 59.4411,9.0,,planet
Kepler-917 b,,19 56 12.3061,+47 56 57.4032,,,planet
TOI-421 b,74.94,05 27 24.8258,-14 16 37.0473,0.02256,981.0,planet
TOI-421 c,74.94,05 27 24.8258,-14 16 37.0473,0.05166,674.0,planet
KMT-2021-BLG-2010L b,7090.0,17 52 02,-32 16 11,1.07,,planet
K2-205 b,420.9,01 00 52.1970,+00 25 33.6058,,,planet
HD 190984 b,103.0,20 11 30.7151,-64 37 13.6871,3.1,136.2,planet
WASP-159 b,926.0,04 32 32.7560,-38 58 05.9545,0.55,1850.0,planet
HD 109286 b,55.5,12 33 34.9893,+07 16 51.2869,2.99,259.4,planet
WD 1856+534 b,24.75,18 57 39.3436,+53 30 33.3016,13.8,163.0,planet
Kepler-430 b,942.241,19 31 14.0664,+49 34 46.0601,,,planet
Kepler-430 c,942.241,19 31 14.0664,+49 34 46.0601,,,planet
NGTS-23 b,1074.95,04 41 44,-40 02 40,0.613,1327.0,planet
Kepler-1876 b,259.935,19 56 39,+41 08 38,0.00755,1299.0,planet
TOI-1416 b,55.0135,14 27 42,+41 57 11,0.01095,1517.0,planet
WASP-123 b,199.053,19 17 55.0316,-32 51 35.9549,0.92,1510.0,planet
Kepler-212 c,726.97,19 10 28.9991,+43 08 29.9773,,,planet
Kepler-212 b,726.97,19 10 28.9991,+43 08 29.9773,,,planet
Kepler-1691 b,1315.6,19 05 01,+41 01 19,,,planet
Kepler-912 b,,19 52 26.6834,+41 45 30.0200,,,planet
Kepler-1024 b,1119.7,19 27 48.2439,+38 15 05.9686,,,planet
Kepler-1100 b,707.714,19 27 29.1206,+44 05 14.5824,,,planet
WASP-103 b,470.0,16 37 15.5753,+07 11 00.1190,1.49,,planet
HD 220773 b,49.0,23 26 27.4448,+08 38 37.8392,1.45,145.8,planet
K2-399 b,515.491,10 32 18,+02 14 16,0.0959,2529.07247265,planet
HIP 91258 b,44.9,18 36 53.15422,+61 42 09.0124,1.068,,planet
EPIC 201637175 b,225.0,11 17 55.856,+02 37 06.79,,,planet
Kepler-616 b,945.775,19 39 57,+46 50 18,0.0204,860.0,planet
Kepler-616 c,945.775,19 39 57,+46 50 18,0.0363,413.0,planet
Kepler-616 d,945.775,19 39 57,+46 50 18,0.0237,499.0,planet
HD 47186 b,37.84,06 36 08.7879,-27 37 20.2668,0.07167,1123.6,planet
HD 47186 c,37.84,06 36 08.7879,-27 37 20.2668,0.35061,161.7,planet
Kepler-1179 b,420.239,18 56 23.4252,+47 48 38.1390,,,planet
Kepler-363 d,734.62,18 52 46.1054,+41 18 19.3160,,,planet
Kepler-363 c,734.62,18 52 46.1054,+41 18 19.3160,,,planet
Kepler-363 b,734.62,18 52 46.1054,+41 18 19.3160,,,planet
Kepler-1412 b,772.499,19 28 43.2304,+49 12 08.8179,,,planet
2MASS J1119-1137 b,,11 19 32.54,-11 37 46.70,3.7,,planet
Kepler-1551 b,1526.02,19 43 08.5235,+39 54 28.4671,,,planet
Kepler-410 A b,132.0,18 52 36,+45 08 23,,,planet
Kepler-1985 b,,19 34 16,+42 07 57,0.0182,1129.0,planet
Kepler-960 b,287.274,18 45 49.7304,+46 44 47.2930,,,planet
MOA-2010-BLG-311 b,6000.0,18 08 49.98,-25 57 04.27,,,planet
TOI-849 b,224.9,01 54 52,-29 25 18,0.12299,,planet
NGC 4349 No 127 b,2200.0,12 24 35.4685,-61 49 11.888,19.8,,planet
EPIC 206318379 b,63.1,22 22 29.8611,-07 57 19.8535,,,planet
HD 102365 b,9.24,11 46 31.0719,-40 30 01.2799,0.05,355.1,planet
HATS-12 b,981.0,19 16 48.5743,-19 21 21.2468,2.4,,planet
HD 79181 b,,09 11 59.00,-19 44 51.00,0.64,,planet
Kepler-1585 b,969.462,19 44 38.1650,+44 33 47.0989,,,planet
Mercury,,,,0.00017387419,,planet
Venus,,,,0.0025637401,900.0,planet
Earth,,,,0.0031457007,288.0,planet
Mars,,,,0.00033799525,227.0,planet
Jupiter,,,,1.0,,planet
Saturn,,,,0.299,,planet
Uranus,,,,0.0457,,planet
Neptune,,,,0.053953,,planet
Pluto,,,,7.7581378e-06,,planet
K2-158 c,198.2,11 59 46,-05 43 18,,948.0,planet
K2-158 b,198.2,11 59 46,-05 43 18,,794.0,planet
Kepler-454 b,200.0,19 09 54.8466,+38 13 43.9218,0.02152,,planet
Kepler-454 c,200.0,19 09 54.8466,+38 13 43.9218,4.46,,planet
Kepler-454 d,200.0,19 09 54.8466,+38 13 43.9218,,,planet
Kepler-1713 b,295.293,19 09 23,+43 22 42,0.0113,900.0,planet
HD 21411 b,29.16,03 26 11.1178,-30 37 04.1295,0.20734,,planet
Kepler-202 b,291.9,18 51 53.6227,+41 19 19.2391,,,planet
Kepler-202 c,291.9,18 51 53.6227,+41 19 19.2391,,,planet
EPIC 206011691 b,65.0,22 41 12.8861,-14 29 20.3490,,,planet
EPIC 206011691 c,65.0,22 41 12.8861,-14 29 20.3490,,,planet
WASP-112 b,450.0,22 37 57.4377,-35 09 14.3543,0.88,1395.0,planet
Kepler-949 b,492.951,19 54 25.8847,+46 27 13.2529,,,planet
Kepler-966 b,1058.87,19 49 04.9437,+50 07 18.5492,,,planet
Kepler-1600 b,1030.81,19 25 36,+38 47 16,0.0313,209.0,planet
Kepler-1600 c,1030.81,19 25 36,+38 47 16,0.0139,786.0,planet
Kepler-1886 b,1059.51,19 45 03,+39 24 22,0.0226,580.0,planet
Kepler-289 b,700.0,19 49 51.6736,+42 52 58.2696,0.023,,planet
PH3 c,700.0,19 49 51.6736,+42 52 58.2696,0.013,,planet
Kepler-289 c,700.0,19 49 51.6736,+42 52 58.2696,0.415,,planet
KMT-2017-BLG-1146L b,6500.0,17 56 25,-33 08 33,0.71,,planet
Kepler-1423 b,,19 12 58.5114,+41 06 36.3033,,,planet
K2-213 b,336.1,00 52 33.6770,+03 30 27.9318,,,planet
Qatar-1 b,186.6,20 13 32,+65 09 43,1.33,1389.0,planet
Kepler-1197 b,493.778,19 26 40.6329,+42 35 26.5882,,,planet
Kepler-572 b,512.085,19 24 53.0634,+50 34 52.6906,,,planet
K2-163 b,201.2,12 09 19.0393,-00 32 20.5890,,,planet
Kepler-554 b,704.473,19 45 37.6383,+51 21 29.3462,,,planet
Kepler-199 b,544.56,19 42 14.2652,+40 14 10.5512,,,planet
Kepler-199 c,544.56,19 42 14.2652,+40 14 10.5512,,,planet
HD 129445 b,67.61,14 46 03.0649,-68 45 45.8766,1.6,151.1,planet
K2-343 c,166.169,08 56 49,+21 30 10,0.0149,465.0,planet
K2-343 b,166.169,08 56 49,+21 30 10,0.0106,653.0,planet
Kepler-1240 b,884.095,18 51 59.9355,+40 33 26.8670,,,planet
KIC 8540376 b,1106.32,18 49 30.6054,+44 41 40.4949,,,planet
KIC 8540376 c,1106.32,18 49 30.6054,+44 41 40.4949,,,planet
V830 Tau b,131.0,04 33 10.0299,+24 33 43.2558,1.4,,planet
Kepler-1181 b,964.506,19 18 59.3549,+39 31 24.4191,,,planet
TOI-672 b,66.9071,11 11 58,-39 19 41,0.0757,676.15,planet
CT Cha B,165.0,11 04 09.0989,-76 27 19.3269,,2500.0,planet
HD 23472 b,39.08,03 41 50.3991,-62 46 01.4795,0.05638,,planet
HD 23472 c,39.08,03 41 50.3991,-62 46 01.4795,0.05405,,planet
Kepler-1245 b,824.81,19 22 58.6313,+43 15 38.8183,,,planet
Kepler-1245 c,824.81,19 22 58.6313,+43 15 38.8183,,,planet
TOI-5678 b,165.393,03 09 32,-34 11 55,0.06293,513.0,planet
OGLE-2016-BLG-1093L b,8120.0,17 56 01.00,-32 42 48.00,0.71,,planet
K2-335 b,557.993,08 37 34,+16 31 19,0.0174,949.0,planet
WASP-122 b,251.934,07 13 12.3539,-42 24 35.1153,1.372,1960.0,planet
